Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1992,Love Potion No. 9,17.18,207,below_avg,Comedy
1992,Love Potion No. 9,17.18,207,below_avg,Romance
1992,Love Potion No. 9,17.18,207,below_avg,Fantasy
1992,Love Potion No. 9,17.18,207,below_avg,Science Fiction
2003,Azumi,17.176,250,Average,Adventure
2003,Azumi,17.176,250,Average,Drama
2003,Azumi,17.176,250,Average,Action
2003,Azumi,17.176,250,Average,Thriller
2003,Azumi,17.176,250,Average,Romance
1999,Dogma,17.176,1979,Average,Fantasy
1999,Dogma,17.176,1979,Average,Comedy
1999,Dogma,17.176,1979,Average,Adventure
2021,The Right One,17.174,26,Average,Comedy
2021,The Right One,17.174,26,Average,Romance
2006,The Breed,17.173,274,not_popular,Thriller
2006,The Breed,17.173,274,not_popular,Horror
2021,Seven Deadly Sins: Lust,17.172,3,below_avg,Drama
2019,Can You Keep a Secret?,17.172,703,Average,Romance
2019,Can You Keep a Secret?,17.172,703,Average,Comedy
2011,Hellraiser: Revelations,17.17,206,not_popular,Horror
2019,Homecoming: A Film by Beyoncé,17.168,285,Popular,Documentary
2019,Homecoming: A Film by Beyoncé,17.168,285,Popular,Music
2019,A Shaun the Sheep Movie: Farmageddon,17.168,351,Average,Comedy
2019,A Shaun the Sheep Movie: Farmageddon,17.168,351,Average,Animation
2019,A Shaun the Sheep Movie: Farmageddon,17.168,351,Average,Family
2021,Hate by Dani Rovira,17.164,34,Popular,Comedy
1992,White Men Can't Jump,17.161,974,Average,Comedy
1992,White Men Can't Jump,17.161,974,Average,Drama
1987,Baby Boom,17.158,288,below_avg,Comedy
1987,Baby Boom,17.158,288,below_avg,Drama
1987,Baby Boom,17.158,288,below_avg,Romance
1969,The Italian Job,17.155,525,Average,Action
1969,The Italian Job,17.155,525,Average,Crime
1969,The Italian Job,17.155,525,Average,Comedy
1969,The Italian Job,17.155,525,Average,Thriller
2018,Night School,17.152,1399,below_avg,Comedy
2017,Novitiate,17.152,127,below_avg,Drama
2008,Ip Man,17.152,2970,Popular,Drama
2008,Ip Man,17.152,2970,Popular,Action
2008,Ip Man,17.152,2970,Popular,History
2017,Megan Leavey,17.151,609,Popular,Drama
2017,Megan Leavey,17.151,609,Popular,War
1993,Iron Monkey,17.147,210,Popular,Action
1993,Iron Monkey,17.147,210,Popular,Crime
1993,Iron Monkey,17.147,210,Popular,Drama
1988,Tequila Sunrise,17.147,360,below_avg,Crime
1988,Tequila Sunrise,17.147,360,below_avg,Romance
1988,Tequila Sunrise,17.147,360,below_avg,Thriller
2013,The Wizards Return: Alex vs. Alex,17.146,621,Average,Family
2013,The Wizards Return: Alex vs. Alex,17.146,621,Average,Adventure
2013,The Wizards Return: Alex vs. Alex,17.146,621,Average,Comedy
2013,The Wizards Return: Alex vs. Alex,17.146,621,Average,Drama
2003,11:14,17.142,620,Average,Crime
2003,11:14,17.142,620,Average,Drama
2003,11:14,17.142,620,Average,Thriller
2003,11:14,17.142,620,Average,Mystery
2008,Drillbit Taylor,17.142,808,not_popular,Comedy
2018,The Perfection,17.14,1043,Average,Horror
2018,The Perfection,17.14,1043,Average,Thriller
2018,The Perfection,17.14,1043,Average,Drama
2018,La Leyenda del Diamante,17.14,8,not_popular,Adventure
2018,La Leyenda del Diamante,17.14,8,not_popular,Fantasy
2019,The First King,17.138,914,Average,History
2013,Battle of the Year,17.138,278,Average,Music
2013,Battle of the Year,17.138,278,Average,Drama
2015,Ebola Zombies,17.135,4,Average,Horror
2015,Ebola Zombies,17.135,4,Average,Science Fiction
2016,Midnight Special,17.134,1581,below_avg,Adventure
2016,Midnight Special,17.134,1581,below_avg,Drama
2016,Midnight Special,17.134,1581,below_avg,Science Fiction
2021,Mission «Sky»,17.133,34,Popular,Drama
2021,Mission «Sky»,17.133,34,Popular,War
1969,All Monsters Attack,17.133,112,not_popular,Fantasy
1969,All Monsters Attack,17.133,112,not_popular,Science Fiction
1969,All Monsters Attack,17.133,112,not_popular,Family
2008,Welcome Home Roscoe Jenkins,17.132,208,below_avg,Comedy
2008,Welcome Home Roscoe Jenkins,17.132,208,below_avg,Drama
2012,Would You Rather,17.131,739,not_popular,Thriller
2012,Would You Rather,17.131,739,not_popular,Horror
2008,The Other Man,17.13,181,not_popular,Drama
2008,The Other Man,17.13,181,not_popular,Thriller
2008,The Other Man,17.13,181,not_popular,Mystery
2008,The Other Man,17.13,181,not_popular,Romance
1983,Chained Heat,17.128,38,not_popular,Action
1983,Chained Heat,17.128,38,not_popular,Crime
1983,Chained Heat,17.128,38,not_popular,Drama
1983,Chained Heat,17.128,38,not_popular,Thriller
1985,Fright Night,17.128,968,Average,Comedy
1985,Fright Night,17.128,968,Average,Horror
2009,Adventureland,17.126,1792,below_avg,Comedy
2015,Family Vacation,17.125,5,not_popular,Comedy
2009,The Boat That Rocked,17.125,1738,Popular,Drama
2009,The Boat That Rocked,17.125,1738,Popular,Comedy
2007,St. Trinian's,17.125,383,below_avg,Comedy
2007,St. Trinian's,17.125,383,below_avg,Family
2007,St. Trinian's,17.125,383,below_avg,Science Fiction
1970,They Call Me Trinity,17.125,985,Popular,Action
1970,They Call Me Trinity,17.125,985,Popular,Comedy
1970,They Call Me Trinity,17.125,985,Popular,Western
1998,Gia,17.123,562,Average,Romance
1998,Gia,17.123,562,Average,Drama
2015,David and Goliath,17.122,39,not_popular,Action
2015,David and Goliath,17.122,39,not_popular,Adventure
2015,David and Goliath,17.122,39,not_popular,Drama
2015,David and Goliath,17.122,39,not_popular,Fantasy
2020,Let Him Go,17.121,373,Average,Drama
2020,Let Him Go,17.121,373,Average,Thriller
2020,Let Him Go,17.121,373,Average,Crime
2016,Mom's Friend 2,17.12,1,not_popular,Romance
1998,The Visitors II: The Corridors of Time,17.12,819,below_avg,Comedy
1998,The Visitors II: The Corridors of Time,17.12,819,below_avg,Fantasy
1933,The Invisible Man,17.118,556,Popular,Horror
1933,The Invisible Man,17.118,556,Popular,Science Fiction
2019,The Dirt,17.116,939,Popular,Drama
2019,The Dirt,17.116,939,Popular,Music
2019,The Dirt,17.116,939,Popular,History
2015,Capture the Flag,17.115,190,not_popular,Comedy
2015,Capture the Flag,17.115,190,not_popular,Animation
2015,Capture the Flag,17.115,190,not_popular,Adventure
2015,Capture the Flag,17.115,190,not_popular,Family
2015,Sword of Vengeance,17.113,65,not_popular,History
2018,Nobody's Fool,17.111,246,below_avg,Comedy
2018,Nobody's Fool,17.111,246,below_avg,Romance
2011,"A Fairly Odd Movie: Grow Up, Timmy Turner!",17.111,177,not_popular,Family
2011,"A Fairly Odd Movie: Grow Up, Timmy Turner!",17.111,177,not_popular,Fantasy
2011,"A Fairly Odd Movie: Grow Up, Timmy Turner!",17.111,177,not_popular,TV Movie
2011,Assassin's Creed: Embers,17.107,89,Average,Animation
2018,Anna and the Apocalypse,17.106,255,below_avg,Horror
2018,Anna and the Apocalypse,17.106,255,below_avg,Comedy
2018,Anna and the Apocalypse,17.106,255,below_avg,Fantasy
2005,Into the Sun,17.105,111,not_popular,Action
2005,Into the Sun,17.105,111,not_popular,Thriller
2006,Flyboys,17.101,640,below_avg,Action
2006,Flyboys,17.101,640,below_avg,Adventure
